ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
GUJALKALI.NS,GUJARAT ALKALIES AND CHEMICALS LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
GUJGASLTD.NS,GUJARAT GAS LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
GULFOILLUB.NS,GULF OIL LUBRICANTS INDIA LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants,ok
HAL.NS,HINDUSTAN AERONAUTICS LIMITED,DEFENCE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
HAPPSTMNDS.NS,HAPPIEST MINDS TECHNOLOGIES LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
HATHWAY.NS,HATHWAY CABLE & DATACOM LIMITED,TELECOM,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,ok
HATSUN.NS,HATSUN AGRO PRODUCT LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,ok
HAVELLS.NS,HAVELLS INDIA LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,ok
HBLENGINE.NS,HBL ENGINEERING LIMITED,AUTO COMPONENTS,Industrials,Capital Goods,Industrial Products,Other Industrial Products,ok
HCLTECH.NS,HCL TECHNOLOGIES LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
HDFCAMC.NS,HDFC ASSET MANAGEMENT COMPANY LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
HDFCBANK.NS,HDFC BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
HDFCLIFE.NS,HDFC LIFE INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,Life Insurance,ok
HEG.NS,HEG LIMITED,METALS,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,ok
HEIDELBERG.NS,HEIDELBERG CEMENT INDIA LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
HEMIPROP.NS,HEMISPHERE PROPERTIES INDIA LIMITED,REALTY,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,ok
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
HFCL.NS,HFCL LIMITED,TELECOM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,ok
HINDALCO.NS,HINDALCO INDUSTRIES LIMITED,METALS,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,ok
HINDCOPPER.NS,HINDUSTAN COPPER LTD.,METALS,Commodities,Metals & Mining,Non - Ferrous Metals,Copper,ok
HINDPETRO.NS,HINDUSTAN PETROLEUM CORPORATION LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
HINDUNILVR.NS,HINDUSTAN UNILEVER LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,ok
